Line, Station, Station Code, FR Code,
5,종로3가,2535,534,
5,오금,2558,P552,
5,동대문역사문화공원,2537,536,
5,왕십리,2541,540,
5,까치산,2519,518,
5,영등포구청,2524,523,
5,신길,2526,525,
5,을지로4가,2536,535,
5,공덕,2530,529,
5,천호,2548,547,
5,군자,2545,544,
5,여의도,2527,526,
5,김포공항,2513,512,
5,충정로,2532,531,
5,청구,2538,537,
5,영등포시장,2525,524,
5,상일동,2554,553,
5,방화,2511,510,
5,개화산,2512,511,
5,송정,2514,513,
5,마곡,2515,514,
5,발산,2516,515,
5,우장산,2517,516,
5,화곡,2518,517,
5,신정,2520,519,
5,목동,2521,520,
5,오목교,2522,521,
5,양평,2523,522,
5,여의나루,2528,527,
5,마포,2529,528,
5,애오개,2531,530,
5,서대문,2533,532,
5,광화문,2534,533,
5,신금호,2539,538,
5,행당,2540,539,
5,마장,2542,541,
5,답십리,2543,542,
5,장한평,2544,543,
5,아차산,2546,545,
5,광나루,2547,546,
5,강동,2549,548,
5,길동,2550,549,
5,굽은다리,2551,550,
5,명일,2552,551,
5,고덕,2553,552,
5,둔촌동,2555,P549,
5,올림픽공원,2556,P550,
5,방이,2557,P551,
5,개롱,2559,P553,
5,거여,2560,P554,
5,마천,2561,P555,